session_uuid,IPv4,datetime,
10012174-94346786,"174.62.142.37, 205.251.250.127",Sun Jul 13 19:21:52 UTC 2014,email
10018341-21938054,"49.200.118.215, 54.240.148.50",Fri Jul 11 4:59:49 UTC 2014,email
10034566-79522672,"41.58.166.246, 54.239.166.47",Thu Jul 10 13:42:40 UTC 2014,email
10034701-1163013,"90.210.122.230, 54.239.166.134",Sun Jul 13 18:34:24 UTC 2014,email
1003577-90602137,"85.58.130.162, 54.239.156.84",Wed Jul 9 22:32:24 UTC 2014,email
10056791-40354312,"121.54.54.139, 54.239.178.58",Sun Jul 13 16:14:46 UTC 2014,email
10086699-28136645,"50.197.41.97, 54.239.134.17",Tue Jul 8 13:57:42 UTC 2014,email
10090699-90394477,"175.141.23.159, 204.246.166.53",Fri Jul 11 15:19:20 UTC 2014,email
10092108-3049049,"146.230.128.50, 216.137.62.76",Mon Jul 14 17:58:52 UTC 2014,email
1009403-19532319,"93.91.90.38, 54.240.145.177",Thu Jul 10 10:13:54 UTC 2014,email
10094474-95076781,"1.178.225.102, 54.239.202.10",Mon Jul 14 9:35:34 UTC 2014,email
10105844-89262625,"2.138.190.117, 54.240.150.56",Sun Jul 13 19:25:25 UTC 2014,email
10115055-10802793,"79.171.53.94, 205.251.208.16",Fri Jul 11 17:41:50 UTC 2014,email
10128594-27060096,"110.185.15.99, 54.239.196.85",Sun Jul 13 14:57:06 UTC 2014,email
101322-85480470,"69.35.184.185, 216.137.42.89",Sat Jul 12 13:24:35 UTC 2014,email
10152480-78368242,"75.159.203.210, 54.240.158.113",Sat Jul 12 4:15:53 UTC 2014,email
10155466-15774036,"41.242.50.18, 205.251.218.71",Wed Jul 9 9:44:37 UTC 2014,email
10164717-55461405,"50.184.242.163, 54.239.134.15",Mon Jul 14 3:48:32 UTC 2014,email
10179870-38406527,"94.201.236.72, 54.240.148.50",Sat Jul 12 11:57:15 UTC 2014,email
10195392-58205955,"115.176.229.76, 54.239.196.85",Sun Jul 13 11:51:30 UTC 2014,email
10201257-23253397,"59.95.27.87, 54.239.160.77",Fri Jul 11 6:07:21 UTC 2014,email
10206863-71708104,"222.85.82.40, 54.239.196.85",Wed Jul 9 8:39:50 UTC 2014,email
10207658-61448690,"120.59.151.157, 204.246.166.53",Mon Jul 14 6:19:34 UTC 2014,email
10210948-33613097,"212.242.237.48, 54.240.156.43",Sun Jul 13 19:49:34 UTC 2014,email
10215010-54645536,"78.25.123.99, 205.251.218.71",Thu Jul 10 21:18:45 UTC 2014,email
10218897-94832866,"39.47.149.34, 205.251.208.16",Sun Jul 13 12:22:10 UTC 2014,email
10220514-52745345,"101.164.224.79, 54.240.152.51",Thu Jul 10 23:50:12 UTC 2014,email
10224594-18099234,"190.234.106.199, 54.239.140.58",Mon Jul 14 7:05:44 UTC 2014,email
10238144-42848681,"37.46.244.193, 54.240.145.177",Sun Jul 13 21:43:03 UTC 2014,email
10253892-48530428,"180.215.156.8, 204.246.166.53",Sun Jul 13 14:45:53 UTC 2014,email
10258-39705888,"112.134.175.90, 54.240.148.50",Mon Jul 14 4:34:49 UTC 2014,email
10282716-11924199,"46.40.224.72, 54.239.188.93",Tue Jul 8 5:03:51 UTC 2014,email
1029128-65721248,"183.157.160.9, 204.246.186.16",Thu Jul 10 13:28:37 UTC 2014,email
1030243-5594580,"202.144.155.234, 216.137.62.76",Tue Jul 15 8:19:43 UTC 2014,email
10304652-83496800,"122.176.166.226, 54.239.188.93",Mon Jul 7 7:22:06 UTC 2014,email
10305194-22455540,"200.80.234.240, 54.239.140.58",Tue Jul 8 19:23:27 UTC 2014,email
10311721-88924620,"85.241.27.115, 54.239.166.47",Mon Jul 7 7:17:57 UTC 2014,email
10315772-60876641,"92.246.34.60, 205.251.208.13",Thu Jul 10 7:28:23 UTC 2014,email
