ip,games_played,highest_level,minutes_played,research_time_level1,research_time_level2,research_time_level3,research_time_level4,research_time_level5,research_time_level6,protection_percent_level1,protection_percent_level2,protection_percent_level3,protection_percent_level4,protection_percent_level5,protection_percent_level6,reflection
115.78.95.48,3.0 to 6.0,5.0 to 6.0,42.0 to 69.0,8.0 to 29.0,35.0 to 53.0,38.0 to 48.0,35.0 to 44.0,36.0 to 40.0,17.0 to 30.0,12.0 to 22.0,13.0 to 23.0,-2.0 to 6.0,-14.0 to -4.0,-5.0 to 2.0,-38.0 to -13.0,"Refleciton on Risk Horizon gameRisk management is to
protect the community (i.e. pods) from damages by the comets, thus helping the
community to grow sustainably. Â Â The game offers three choices for risk management, including Protection, Insurance, and Knowledge (i.e. Research). Â Protection and Insurance are money-costly and I normally need to trade-off one for the other. Â Knowledge is time costly. Â  To successfully manage the risk of comets hit which causes waves, I used the following priority order:Â Protection, Knowledge and Insurance. Â Â Using the above three choices may
affect development in both way (i.e. immediately or after some time). Â For example,Â protection and insurance are costly, which may slow down the development
progress. Â Obtaining knowledge on the comets may help to avoid, or reduce the damage if the risks realize (i.e. the comet hit causing waves)
in the future.Â Â I changed my strategy
several times until I get to the level 6 of the game. Â The first times I played (from 1stÂ Â to 4th times), I focused on developing the community
first, then doing the risk management (i.e. protection, research and insurance).Â  Normally I passed level 1 and failed at level
2 after getting 1 or 2 damages caused by the comet hits.Â I changed my strategies after
that.Â  I kept the number of pods in
the community at 3 or 4 at the first two levels, while using the bank and the time I have to do more preparation for risk
management (i.e. improve protection, do more research or buy insurance).Â  Later on, when the bank grew up, I invested more in the pods and did more preparation for risk managementÂ simultaneously. Â After getting to level 6Â (which I failed at the latest attempt), I have learnedÂ the following main points from the game: Â To develop, we need to
take risks (no pods, no damage).Â Resources for risk
management are limited, we may need the trade-offs among the different types of the resources.Â  Â Â Utilise time to learn
about the risk will help to improve protection significantly. Risk management is the
key component of developments.Â For sustainable development,
we need to balance the development level of the community and risk
management.Â  Â 
If I can change or add one simple thing in this wonderful game, I would add the function ""Differentiation of the Position of the Pods"". Â In the game, the locations of
the Pods are not really important.Â  All pods are located in the same place, contributing the same level of development to the community, andÂ getting the same damage if the comets hit and cause waves. Â Thus, I would
like to add the above-mentioned function to choose the location for the Pods. Â For example, the pods located at higher place (e.g. a mountain) shall get less damages by the comets hit, while their costs are higher. Â In addition, the money they bring up may higher while the costs for protecting them may also higher. Â Â Â In this regard,Â the player may have a choice of where
to locate the pods, what position should be better protected, and in an extreme case, the player may choose to abandon an individual location of pods when the comets come, for the development of the whole community.Â 
I believe risk
management choices should also include what region (in the community) to be
protected, and the level of protection as well.Â  Thus I
believe the above function will better reflect risk management in the real
community."
124.6.181.178,3.0 to 6.0,5.0 to 6.0,42.0 to 69.0,29.0 to 62.0,35.0 to 53.0,38.0 to 48.0,35.0 to 44.0,17.0 to 36.0,17.0 to 30.0,12.0 to 22.0,13.0 to 23.0,-2.0 to 6.0,-4.0 to 2.0,-32.0 to -12.0,-38.0 to -13.0,"The game is about assessing the â€œshocksâ€ù (meteors) and matching it against what resources you have or needed to have to mitigate damage and destruction. I have to play it many times before I was able to fully understand the dynamics and needed â€œskillâ€ù to succeed. Just like in the real world, if we are confronted with something that we have little knowledge of, we will end up â€œshockedâ€ù. But we learn from experience and the next time something similar happens we become more prepared. 
In my first two games, I was buying an insurance â€“ the premium one. But I learned that I donâ€™t have to buy the insurance, I just have to study the meteor and/or increase protection while at the same time developing the pods. Basically, I just use the resources (money) to improve the pods and increase protection (raising the elevation). There are meteors that you just ignore because you have already enough protection to survive its impact. Another element that I was ignoring at first was the green indicator of progress at the left side of the screen. I didn't know what it was really for, until I started adding more pods and developing them, the indicator starts to rise according to the number and the development of the pods. I thought it would just advance (improve) in timeâ€_and all I have to do is just to prepare for the meteors. All in all, it is about managing resources - time and money to achieve the objective of surviving the meteors.  
With regards to the the changes that I want to make to the game, let me first describe where I am from and what is our current situation. 
I am from Zamboanga City, Philippines. Relative to the other parts of the Philippines, we seldom experience natural calamities and disasters, especially, storms and flooding. There is also no known active volcano in the area. However, what we enjoy in terms lesser natural and disasters and calamities is shadowed by the threat of peace and order. Just recently, our city was under sieged by a breakaway Muslim rebel group. This is something that the whole part of Southern Philippines is experiencing (in various degrees)â€“ a constant conflictâ€_unstable peace and order because of cultural and ethnic differences of the people and because of others who take advantage of the situation.  
And so, if I am to make a simple change in the game, it will be adding dialogue or replacing insurance with dialogue. I feel that a constant dialogue between people of different tribes and cultures can bring about better understanding between them. Allowing people to be more tolerant, patient, and sensitive to other person's culture which in turn'll bring about harmony...and hopefully a lasting peace. 
"
200.113.217.22,10.0 to 66.0,5.0 to 6.0,69.0 to 435.0,-27.0 to -11.0,-33.0 to -11.0,-37.0 to -13.0,-56.0 to -40.0,-60.0 to -39.0,n/a,22.0 to 68.0,13.0 to 23.0,-2.0 to 6.0,11.0 to 38.0,2.0 to 12.0,n/a,"The
three components (research, insurance and protection) of risk management played
an important role as tools to assess the severity of the threat, to reduce the
level of damage and serve as a shield to protect against any loss caused by
flooding. In terms of trade-offs, depending on the severity of the hit, the research
component of risk management gives an edge over insurance since it provides a better
assessment of the risk and more financial resources to upgrade the pods in
contrast with the upgrading the level of protection which is very costly. In
regard to development, preparation for risk has a positive effect in the long
term as in the short term since it helps reduce the loss of lives and material resources
immediately and any perverse effect on economic growth in the long term.
Indeed,
I played the game many times to reach level 4 and after the first time I have focused
more on research or knowledge in order to have more resources to upgrade my
pods and therefore reduce the impact of the comets. Â As I was progressing through higher levels,
the main things I have learnt from the game is that the better way to manage
risk is to: 
(a)Â Â Â Â  To do some research about
the threat in order to assess the severity of the risk;
(b)Â Â Â Â  Raise the level of
protection either by buying insurance or most of all by upgrading the level of
community connection.
Â 
Finally,
if I had the opportunity to change or add a simple thing, I would propose that â€œRaising
the level of awareness about risks facing the most vulnerableâ€ù represent better
the risk management choice that matter in my country."
187.105.43.69,2.0 to 3.0,5.0 to 6.0,24.0 to 42.0,8.0 to 29.0,12.0 to 35.0,17.0 to 38.0,17.0 to 35.0,17.0 to 36.0,n/a,12.0 to 22.0,23.0 to 54.0,14.0 to 49.0,11.0 to 38.0,-12.0 to -5.0,n/a,"The game is based on choosing where to apply resources ( knowledge ), on development to gain more resources, on protection to prevent the flood and on insurance to minimize the loss in case of a flood. You have to manage the risk of a flood, while investing enough in production to win the level and enough in protection for not losing for a flood caused by a meteor. Â My strategy was based on investing a lot in development in the beginning , Â to gain some flow of knowledge and have the resources to apply. On the firs attempt I bought insurance, on my second one ( I won level 5 and the game crashed ) I did not buy insurance, I invested a lot in my buildings and always get the green bar with some time left, and than I studied the meteors and invested in protection according to the maximum impact of them. So I manage to win investing everything I could in development, nothing on insurance and no more than I needed on protection, that was the best optimization for me. With this combination I could reach the green bar with a lot of time left.The help between the development spots, ( the ones you had to click after the flood ) didn't make a lot of sense to me, because you gain protection after the meteor hit. The community can't help between the meteor fall and before the flood, they can help prevent and reconstructing.Â "
99.225.231.137,6.0 to 10.0,4.0 to 5.0,24.0 to 42.0,29.0 to 62.0,12.0 to 35.0,17.0 to 38.0,17.0 to 35.0,n/a,n/a,1.0 to 12.0,-13.0 to 3.0,-14.0 to -2.0,-41.0 to -14.0,n/a,n/a,"Game Reflection1.
Risk management in the game was about balancing
investment and expansion with knowledge, protection, and insurance.Â  I chose to build conservatively, investing in
insurance and balancing my time to maximize protection and knowledge.Â  By preparing for risk I had to delay building
all my pods at once which in the short term slowed down my progress.Â  In the long term, however, because I was
investing in insurance, carefully establishing protection and keeping a keen
eye on knowledge when the comets hit I was not badly damaged.Â  My subsequent pod expansion and upgrading was
safer and more resilient even when substantial comets hit.
2.Â Â Â Â Â 
After I played the game several times I became
more adept at achieving a balance between pod building and investing in
knowledge, protection, and insurance.Â 
The first time I was so concerned about risk that I failed because I was
not devoting enough time and resources to building pods and upgrading
them.Â  I was also overly concerned with
protection to the detriment of knowledge, or in the case of the game tracking
the comets.Â  The main things that I
learned from the game are that risk is calculated and there are as many
negative consequences to not investing enough of oneâ€™s resources in building as
there are to building without proper regard for risk.Â  I also realised that time is also a resource
that has to be invested wisely and that knowledge and protection are each
equally important if an asset is to be secured.Â 
Lastly I learned that community connections are the difference between
little or no damage and complete destruction; therefore, it is vital for the
success of any large project to be part of a community.
3.Â Â Â Â Â 
If I were going to add one thing to a new
version of the game I would make it health and social security insurance for
those that live in the pods.Â  I live in
Canada where we have universal health care and social security and I know that
some of the risk of investing is mitigated by the knowledge that after a
disaster medical costs will not bankrupt an individual and there is a social
safety net to help individuals if a disaster means that work is temporarily
delayed.Â  We pay a high cost for this
social insurance through taxes but it gives individuals the peace of mind to
not just build but also rebuild after a natural event."
76.67.52.204,6.0 to 10.0,0.0 to 2.0,15.0 to 24.0,-38.0 to -27.0,n/a,n/a,n/a,n/a,n/a,-15.0 to 1.0,n/a,n/a,n/a,n/a,n/a,"It is important to make in-depth study of the country's geography and the nature of its climate before starting a project or building a community for social development. The social and economic investment's chances for a long lasting success must take into consideration the following factors:the nation's financial ability to meet the various costs associated with building such investment.the scope of the preparations: financial, insurance, technical and human resources.the role of the world bank in helping and offering assistance in case of a disaster.the role of international community to assist in real time.country's participation in an effective insurance system.These factors are very important in establishing an effective system of risk management. However, any nation must take into consideration the physical nature of its climate and land in order to reduce and minimize the negative impact of natural disasters, such as hurricanes and tornadoes. You need to build a stronger structure and better building code to ensure safety against the damaging effects of natural disasters.It takes a social responsibility and accountability to establish an effective risk management system. People at different level of national responsibility must work together to protect communities against natural events. For example, you don't build a nuclear reactor near an area that sits above an earthquake fault., or building factories near densely populated areas.Protecting the environment is an essential element in risk management. Deforestation is disastrous practice that leads to a great imbalance in the ecosystem. People must understand that they cannot go forever taking earth for granted. The best risk management starts with respecting the physical nature of earth.Â  Â  "
50.246.109.21,3.0 to 6.0,0.0 to 2.0,0.0 to 15.0,-27.0 to -11.0,n/a,n/a,n/a,n/a,n/a,1.0 to 12.0,n/a,n/a,n/a,n/a,n/a,"1. Role of Risk ManagementThe ""risk horizon"" game provided a visual method of showing the importance of risk management techniques for risk mitigation. These were:Growth: ability to take risk by building pods to generate more revenueKnowledge: the importance of research and the ability to track probabilitiesProtection: methods of protecting pods from floods caused by cometsInsurance: use of insurance to enable rebuilding at lower costsCommunity: ability to band communities together to share risk and rewardKnowledge enabled buying protection and insurance based on probability. The result was the ability to better resource growth when probability of a comet hit was lower. It appeared that high growth with a lack of risk mitigation was an unsustainable strategy.2. What to do Differently When Playing AgainIt is not clear how the algorithms for knowledge, protection and insurance play out. In other words, the value per dollar spent on protection or insurance is not obvious when first playing the scenario. One needs testing by making the pod development the same in 2 games and adjusting for high protection/lower insurance in one and low protection/higher insurance in the other. Once protection and insurance return is understood, the next stage is to adjust for growth. The problem with this ""A-B"" testing approach is that it may help get better points in the game, but might be immoral in real life. For example, eliminating protection for flooding through insurance may result in far more deaths even if this was more economical.3. Recommended Change to the GameThe game could provide feedback about risk appetite. Game players are faced with examining risk probability as multiple comets fly overhead and deciding on growth, protection and insurance. It might be helpful in learning risk management to provide a risk matrix that shows users where their risk mitigation strategy falls in probability by impact when clicking on comets. This would be more useful than attempting to visualize probability by impact with the little bars. Users may get focused on probability rather than the combination of probability and impact. This may also require a little more explanation about the risk matrix in the course. This explanation would be helpful because the risk matrix is a very useful visual tool for evaluating risk and getting agreement in a group of people."
213.73.185.203,10.0 to 66.0,4.0 to 5.0,42.0 to 69.0,-11.0 to 8.0,-11.0 to 12.0,-13.0 to 17.0,-13.0 to 17.0,n/a,n/a,-28.0 to -15.0,-37.0 to -13.0,-2.0 to 6.0,11.0 to 38.0,n/a,n/a,"The purpose of the game â€“ Risk Horizon â€“ is to develop a
community of Alora by building and upgrading pods. The community faces a
constant risk â€“ comets. These comets can destroy pods. The risk can be managed
in several ways â€“ by obtaining insurance to cover some of the losses incurred,
by researching comets and building connections within the community, and by
increasing protection (the slider bar). All these methods have certain monetary
cost (for example insurance costs certain amount of money), cost related to forfeited
opportunities (for example when a player is engaged in research he or she
cannot engage in other activities), or a combination of the two costs (for
example increasing protection with the slide bar costs money and results in
temporary forfeiture of development opportunities). 
I played the game multiple times and tested various risk
management strategies. First, I tried playing without any risk management, but
concentrated on building and upgrading pods only. This very quickly led to a
loss in the game. Then, I tried to employ one of the risk management tools at
the time (knowledge, insurance, or protection). This usually led to a loss in
levels 1 or 2. Therefore, I realized that in order to succeed in the game, all
risk management strategies had to be employed and balanced at the same time. By
doing so I was able to reach level 4 of the game. It is also worth mentioning that the first few times I played the game, I did not feel comfortable enough to employ all risk management strategies at the same time. In particular, I struggled to understand the importance of comet research.Â 
While the game was really good at capturing, in a simplified
way, various aspects of risk management, it suffered from one deficiency, in my
opinion. Based on my experience with the game, it seems that it does not
promote savings in any way. I was actually more successful when I fully used
all the money at my disposal, as soon as it became available. I feel like
having savings in the face of a serious risk is actually good, and provides a
safety cushion, which allows for a better recovery. Therefore, it would
actually be nice to allow users to set some money aside so that it can be used
to deal with the damage caused by comets. This would actually make itÂ a little more realistic. 
"
115.84.235.70,10.0 to 66.0,5.0 to 6.0,69.0 to 435.0,29.0 to 62.0,35.0 to 53.0,38.0 to 48.0,35.0 to 44.0,36.0 to 40.0,n/a,22.0 to 68.0,23.0 to 54.0,14.0 to 49.0,11.0 to 38.0,12.0 to 37.0,n/a,"Role of risk management in the gameâ€”giving warning through
research and the ability to know the severity and the chance of target. Thus,
giving an ample time to the illuminator to adjust insurance and protection of
the place. Â Furthermore, given such
access also allows the illuminator to construct new pods and or improve
existing ones for more progressive development.Choices, whether to take longer time doing research or
increasing protection, which also adversely affects resources. Research
increases, while protection deletes it but continues to be useful even after
zero. Preparing for risk impedes development and competes in the allocation of resources.
However, the component of Research, Protection and Insurance were of a good help. However, they became stumbling block as well against time and resources. Research, took most of the time because the cursor has to focus on the comets and wait upon the progress. While doing so, another comet is coming in a short distance from the first. Insurance, plays a good bond, whenever unexpectedly been hit by a severe comets.I played it countless times and I would have been more
conscious and careful with my combinations and to take more risk and study the
effect and respond on it simultaneously. My first trial has been just for fun. But
when I was hit and there is damage in my pods I slowly become serious and
serious thinking strategies and combination. But been disappointed with the
very limited time given. Thus, when its comet free, it was also no time left to
construct new pods or improve existing ones. Iâ€™ve learn in the game; balance, courage, coordination and
guts. Balancing development and protection with the aid of research and
insurance, while keeping in mind the constraint of time and resources. Courage
and guts, to try different strategies and combinations. Coordination, the whole
thing has to be coordinated to be able to develop and protect the Alora.
If I were to add something in the game, it would be Resilience.
That after being shocked, the place would be somehow recovers and be able to be
positive in continuing growth.
Maybe, I underestimate the whole
thing and or I myself wasnâ€™t prepared for a risk. However, Filipinos in real
sense were resilient and very positive. So, if and only if the game shall be
available for long even after the quiz. I would love to re-take and will do my
very best to study the matters. Itâ€™s very interesting and challenging. My experience
has been a thriller and I am yes confused and shocked but happy to have tried
it with my very best. I am certain to do it over and over again. Learning to be
more calm and think and be conscious of the factors affecting and will be
affected. Itâ€™s a good thing to be reminded and to witness such catastrophe in
the game setting wherein adjustment could be done and correction in every
error.
Â 
Â 
Â "
116.50.66.30,0.0 to 2.0,0.0 to 2.0,0.0 to 15.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1. The game brought out the relevance of the risk management and
the application of available tools for development.
While development is the KPI in this game, there are
uncertainties which affect development. This game illustrated very well the application
of risk management elements and tools viz. knowledge (research to gain that
knowledge about events), protection by raising the level of pods, insurance and
coping (making community connections and having to rebuild the pods by saving
ahead for those repairs).
The trade-offs were quite apparent in the sense that you
would have less resources for development while you devote some towards
protection and insurance. I made a choice to start development immediately,
protect existing development by raising level to reduce damage and have
insurances in place for repairs, early on in the game. The initial costs
related to protection and insurance far outweigh the benefits of damage from
comet hits later on.
One thing was, I invested in research as soon as I sighted a
comet on the horizon, so it gives more time to prepare and make community connections
in the event it happens. Another thing I did, was to make sure there were some
$ always available to make repairs â€“ the lesser the damage.2. I should admit I did a few iterations to reach level 3 but havenâ€™t
crossed it. So obviously, I havenâ€™t got the development-resource-risk equations
or the diversification part right. Perhaps I invested too much in protection
and insurance. After the first attempt where I lost in level 2, I was trying
different combinations of resource allocation to development, protection and
insurance. The equations were not apparent and there was not enough time to
figure them out.
If I were to play only once I would try to broaden development
first and then focus on protection and insurance in that order. It seems a
logical way to approach development in general. The uncertainties such as
natural disasters depicted in the game could result in any outcome but I think that
this approach could work in the long term as more development would more
resources to protect, insure and cope.
For me, the game was quite insightful in thinking about my approach
to the development problem (rather to life in general). My learning is that for
successful development, you have to figure out the development-resource-risk
equations. Community connections are very important in expediting development
by sharing knowledge and coping experiences.3. First of all, fantastic game with a lot of insights and practical
relation with life/development, in general. One thing I would like to add the
game is community connections before the event to share the coping experiences.
I think if one were to have advance information about preventive actions and how
to cope, one would be better placed to cope with the risks and outcomes.
This is the same change I would encourage to better manage
risk in my workplace and community at large. I believe we donâ€™t have to reinvent
the wheel every time to discover solutions for successful development. We can
learn vicariously from othersâ€™ experiences and approaches. However, blindly
following othersâ€™ approach will not yield success. Every context has different
equations and requires tailored solutions."
